TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,TEAM_ID
1610612737,2017,00,Antonius Cleveland,Antonius,antonius-cleveland,0,G,6-6,195,"FEB 02, 1994",24.0,R,S.E. Missouri,1628499,,1610612737
1610612737,2017,00,Tyler Dorsey,Tyler,tyler-dorsey,2,G,6-5,183,"FEB 18, 1996",22.0,R,Oregon,1628416,,1610612737
1610612737,2017,00,Jaylen Morris,Jaylen,jaylen-morris,3,G,6-5,185,"SEP 19, 1995",22.0,R,Molloy,1628537,,1610612737
1610612737,2017,00,Andrew White III,Andrew,andrew-white-iii,4,F,6-7,210,"JUN 16, 1993",25.0,R,Syracuse,1628510,,1610612737
1610612737,2017,00,Malcolm Delaney,Malcolm,malcolm-delaney,5,G,6-3,190,"MAR 11, 1989",29.0,1,Virginia Tech,1627098,,1610612737
1610612737,2017,00,Jeremy Evans,Jeremy,jeremy-evans,6,F,6-9,200,"OCT 24, 1987",30.0,6,Western Kentucky,202379,,1610612737
1610612737,2017,00,Damion Lee,Damion,damion-lee,8,G,6-6,210,"OCT 21, 1992",25.0,R,Drexel,1627814,,1610612737
1610612737,2017,00,Josh Magette,Josh,josh-magette,11,G,6-1,160,"NOV 28, 1989",28.0,R,Alabama Huntsville,203705,,1610612737
1610612737,2017,00,Taurean Prince,Taurean,taurean-prince,12,F,6-8,220,"MAR 22, 1994",24.0,1,Baylor,1627752,,1610612737
1610612737,2017,00,Dewayne Dedmon,Dewayne,dewayne-dedmon,14,C,7-0,245,"AUG 12, 1989",28.0,4,USC,203473,,1610612737
1610612737,2017,00,Dennis Schröder,Dennis,dennis-schröder,17,G,6-1,172,"SEP 15, 1993",24.0,4,Braunschweig,203471,,1610612737
1610612737,2017,00,Miles Plumlee,Miles,miles-plumlee,18,C-F,6-11,249,"SEP 01, 1988",29.0,5,Duke,203101,,1610612737
1610612737,2017,00,John Collins,John,john-collins,20,F-C,6-10,235,"SEP 23, 1997",20.0,R,Wake Forest,1628381,,1610612737
1610612737,2017,00,Isaiah Taylor,Isaiah,isaiah-taylor,22,G,6-3,170,"JUL 11, 1994",23.0,1,Texas,1627819,,1610612737
