TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612737,Atlanta Hawks,82,60,22,0.732,3946.0,3121,6699,0.466,818,2152,0.38,1349,1735,0.778,715,2611,3326,2111,1167.0,744,380,404,1457,1611,8409,445.0,1,2,2,2,26,10,27,4,5,7,2,19,24,5,30,22,28,2,16,5,15,18,1,20,10,4,106.2,108.2,100.7,102.3,5.6,5.9,0.676,1.81,19.5,0.264,0.697,0.487,0.15,0.527,0.563,96.2,94.66,78.88,7775,0.54,6,5,4,1,3,2,30,22,27,17,3,3,15,3
1610612738,Boston Celtics,82,40,42,0.488,3976.0,3193,7211,0.443,660,2021,0.327,1266,1678,0.754,910,2685,3595,2009,1133.0,674,294,431,1738,1545,8312,13.0,1,16,16,16,8,5,1,21,13,13,27,28,27,14,12,11,13,4,10,8,30,21,20,26,13,18,101.7,103.8,102.1,103.5,-0.4,0.3,0.629,1.77,18.0,0.289,0.71,0.495,0.142,0.489,0.523,98.4,96.71,80.59,8007,0.498,19,12,16,3,4,6,15,16,18,6,22,23,5,18
1610612739,Cleveland Cavaliers,82,53,29,0.646,3956.0,3089,6739,0.458,826,2253,0.367,1453,1934,0.751,911,2612,3523,1814,1171.0,603,340,368,1510,1685,8457,367.0,1,7,7,7,23,15,24,8,4,2,5,9,12,18,11,21,18,10,17,19,25,10,5,11,8,5,107.7,110.1,104.1,105.3,3.7,4.8,0.587,1.55,17.1,0.311,0.711,0.513,0.152,0.52,0.557,94.8,93.23,77.69,7682,0.514,4,18,5,13,16,9,6,15,6,19,4,4,25,10
1610612740,New Orleans Pelicans,82,45,37,0.549,3956.0,3108,6795,0.457,586,1583,0.37,1345,1790,0.751,942,2621,3563,1806,1087.0,553,510,475,1530,1533,8147,65.0,1,13,13,13,23,11,19,10,19,23,4,20,20,17,10,19,16,11,6,25,1,28,6,29,16,13,105.4,107.1,104.7,106.3,0.7,0.8,0.581,1.66,17.1,0.309,0.712,0.511,0.143,0.501,0.537,93.7,92.29,76.91,7608,0.508,9,22,13,16,8,8,8,13,8,10,11,12,27,13
1610612741,Chicago Bulls,82,50,32,0.61,3976.0,3001,6797,0.442,645,1825,0.353,1618,2067,0.783,959,2792,3751,1781,1145.0,514,476,443,1495,1736,8265,246.0,1,9,9,9,8,23,18,22,15,16,10,3,4,3,6,7,3,14,12,28,5,25,4,6,15,10,104.7,106.3,101.5,103.3,3.3,3.0,0.593,1.56,16.6,0.312,0.709,0.516,0.147,0.489,0.536,95.4,93.8,78.17,7775,0.529,11,11,11,11,15,14,5,17,4,15,21,14,19,6
1610612742,Dallas Mavericks,82,50,32,0.61,3976.0,3255,7036,0.463,732,2082,0.352,1386,1843,0.752,858,2608,3466,1846,1062.0,663,371,314,1644,1816,8628,238.0,1,9,9,9,8,2,8,5,7,8,13,15,16,16,20,23,23,8,4,10,20,4,15,2,3,11,107.2,108.2,103.7,104.9,3.5,3.2,0.567,1.74,17.0,0.269,0.681,0.477,0.133,0.515,0.55,97.4,96.4,80.34,7976,0.521,5,17,9,20,6,10,28,30,30,3,6,7,8,9
1610612743,Denver Nuggets,82,30,52,0.366,3976.0,3099,7158,0.433,660,2032,0.325,1462,1991,0.734,1012,2653,3665,1788,1166.0,641,367,504,1882,1698,8320,-291.0,1,24,24,24,8,13,2,26,13,12,28,8,8,24,3,12,7,13,15,14,21,29,30,10,12,24,101.6,103.9,105.5,107.1,-3.9,-3.3,0.577,1.53,16.2,0.303,0.7,0.494,0.146,0.479,0.518,98.7,96.87,80.72,8011,0.465,18,26,23,17,17,20,10,20,20,12,25,24,4,25
1610612744,Golden State Warriors,82,67,15,0.817,3946.0,3410,7137,0.478,883,2217,0.398,1313,1709,0.768,853,2814,3667,2248,1185.0,762,496,293,1628,1541,9016,828.0,1,1,1,1,26,1,3,1,2,4,1,23,26,9,23,4,6,1,18,4,2,2,13,27,1,1,109.7,110.4,98.2,100.4,11.4,9.9,0.659,1.9,19.7,0.273,0.703,0.498,0.145,0.54,0.571,100.7,99.28,82.74,8170,0.569,2,1,1,2,2,1,24,18,14,11,1,1,1,1
1610612745,Houston Rockets,82,56,26,0.683,3961.0,3032,6832,0.444,933,2680,0.348,1525,2133,0.715,958,2624,3582,1820,1366.0,777,407,437,1803,1730,8522,282.0,1,3,3,3,20,21,12,20,1,1,14,5,2,27,7,18,14,9,28,3,10,22,27,7,6,7,104.2,106.0,100.5,102.6,3.7,3.4,0.6,1.33,16.5,0.305,0.686,0.496,0.17,0.512,0.548,99.3,97.36,81.14,8037,0.509,12,7,8,10,27,16,9,27,17,28,7,8,2,12
1610612746,Los Angeles Clippers,82,56,26,0.683,3946.0,3228,6830,0.473,827,2202,0.376,1468,2067,0.71,784,2711,3495,2031,1012.0,640,409,245,1749,1766,8751,540.0,1,3,3,3,26,3,13,2,3,5,3,7,4,28,28,10,20,3,2,15,9,1,24,3,2,2,109.8,111.6,103.0,104.7,6.9,6.9,0.629,2.01,18.7,0.272,0.716,0.497,0.129,0.533,0.565,97.0,95.4,79.5,7844,0.54,1,16,2,4,1,3,26,9,15,2,2,2,11,4
