TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612737,Atlanta Hawks,5,1,4,0.2,240.0,172,391,0.44,57,175,0.326,86,110,0.782,43,154,197,93,82.0,29,12,15,108,117,487,-60.0,13,13,1,13,13,15,15,13,11,13,12,14,14,10,13,14,15,15,5,15,16,2,3,13,14,15,101.8,104.1,109.5,115.9,-7.7,-11.8,0.541,1.13,15.1,0.246,0.695,0.473,0.175,0.513,0.554,97.8,94.0,78.33,468,0.43,14,12,15,13,16,15,13,13,11,16,10,10,11,16
1610612738,Boston Celtics,24,14,10,0.583,1152.0,881,1962,0.449,328,879,0.373,443,556,0.797,216,814,1030,588,353.0,154,150,113,497,521,2533,86.0,1,2,16,3,1,2,1,7,1,1,5,1,1,6,1,1,1,2,16,2,1,16,16,1,1,2,108.1,110.3,103.9,106.3,4.2,3.9,0.667,1.67,18.5,0.271,0.713,0.5,0.154,0.533,0.574,97.9,95.79,79.83,2297,0.529,9,2,2,1,8,3,10,10,7,11,7,8,7,2
1610612740,New Orleans Pelicans,6,2,4,0.333,288.0,234,506,0.462,56,158,0.354,135,173,0.78,91,183,274,128,87.0,38,21,24,127,136,659,-9.0,9,9,1,9,10,9,10,6,12,14,10,10,9,11,9,11,9,10,7,12,13,4,5,11,9,8,114.0,115.6,117.1,117.8,-3.1,-2.2,0.547,1.47,15.9,0.387,0.77,0.563,0.153,0.518,0.566,95.7,94.75,78.96,570,0.467,1,13,9,11,13,12,1,4,1,10,9,9,9,12
1610612741,Chicago Bulls,5,1,4,0.2,240.0,182,451,0.404,52,184,0.283,60,72,0.833,41,179,220,115,65.0,39,16,24,93,89,476,-73.0,13,13,1,13,13,14,13,16,14,11,15,16,16,2,15,12,13,13,3,11,15,4,1,16,15,16,93.9,94.4,107.1,108.3,-13.1,-13.8,0.632,1.77,17.2,0.185,0.776,0.463,0.129,0.461,0.493,101.9,101.1,84.25,504,0.433,16,5,16,5,6,8,16,3,15,4,16,16,3,15
1610612742,Dallas Mavericks,18,9,9,0.5,864.0,653,1455,0.449,284,747,0.38,324,420,0.771,117,540,657,345,184.0,129,50,64,380,397,1914,13.0,3,4,15,6,3,4,4,8,3,3,3,3,3,12,6,4,4,4,13,4,7,11,13,3,3,6,112.1,113.9,111.8,113.3,0.3,0.6,0.528,1.88,15.7,0.207,0.706,0.451,0.109,0.546,0.584,94.6,93.31,77.75,1681,0.48,6,9,7,15,3,13,15,11,16,2,4,6,13,9
1610612743,Denver Nuggets,5,1,4,0.2,240.0,197,414,0.476,56,157,0.357,100,126,0.794,56,153,209,125,82.0,35,17,31,125,116,550,-40.0,13,13,1,13,13,13,14,4,12,15,9,12,12,7,11,15,14,11,5,13,14,7,4,14,13,13,111.0,113.9,118.7,121.9,-7.7,-8.0,0.635,1.52,18.2,0.339,0.755,0.54,0.17,0.543,0.586,99.2,96.7,80.58,483,0.455,5,16,13,3,9,4,2,5,3,14,6,5,6,13
1610612744,Golden State Warriors,22,16,6,0.727,1056.0,910,1895,0.48,308,821,0.375,333,435,0.766,216,750,966,594,320.0,170,109,107,474,424,2461,111.0,2,1,10,1,2,1,2,3,2,2,4,2,2,13,1,2,2,1,15,1,2,15,15,2,2,1,112.4,114.5,107.3,109.6,5.1,4.9,0.653,1.86,19.6,0.283,0.731,0.515,0.149,0.561,0.59,99.6,97.61,81.34,2150,0.53,4,6,1,2,4,1,7,7,6,9,2,4,5,1
1610612748,Miami Heat,18,11,7,0.611,864.0,684,1536,0.445,196,626,0.313,312,388,0.804,177,562,739,394,233.0,150,66,83,386,386,1876,69.0,3,3,14,2,3,3,3,10,4,4,13,4,4,5,3,3,3,3,14,3,4,14,14,4,4,3,106.4,110.7,104.9,107.0,1.5,3.8,0.576,1.69,16.8,0.303,0.748,0.516,0.138,0.509,0.55,96.8,93.97,78.31,1694,0.515,8,3,3,9,7,9,3,6,5,6,11,11,12,4
1610612749,Milwaukee Bucks,12,7,5,0.583,576.0,462,1056,0.438,127,388,0.327,182,249,0.731,117,488,605,250,165.0,76,54,66,229,241,1233,18.0,6,5,9,3,7,7,7,14,8,7,11,8,7,16,6,5,5,8,9,7,5,12,9,8,8,5,101.6,103.4,101.4,102.7,0.2,0.6,0.541,1.52,15.6,0.264,0.804,0.535,0.138,0.498,0.529,100.5,99.0,82.5,1193,0.507,15,1,6,12,10,14,11,1,4,7,14,15,4,6
1610612750,Minnesota Timberwolves,6,2,4,0.333,288.0,218,492,0.443,83,214,0.388,136,168,0.81,42,198,240,137,106.0,49,47,37,161,139,655,-33.0,9,9,1,9,10,11,11,11,9,9,2,9,10,4,14,10,11,9,8,9,9,8,8,9,10,11,104.0,105.8,108.6,111.7,-4.6,-5.9,0.628,1.29,16.7,0.234,0.688,0.47,0.171,0.527,0.579,105.3,102.92,85.76,619,0.47,13,8,11,6,15,10,14,14,14,15,8,7,1,10
