TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612738,Boston Celtics,19,16,3,0.842,917.0,747,1593,0.469,275,764,0.36,298,367,0.812,184,634,818,452,218.0,119,102,42,298,342,2067,153.0,2,1,1,1,2,3,2,4,1,1,6,2,3,7,2,2,2,3,15,2,2,7,13,2,2,1,115.6,116.8,106.0,108.2,9.5,8.6,0.605,2.07,18.4,0.276,0.762,0.521,0.123,0.555,0.589,94.0,92.6,77.16,1769,0.55,4,3,1,5,5,4,9,2,4,5,2,2,12,1
1610612739,Cleveland Cavaliers,12,5,7,0.417,576.0,449,1001,0.449,124,394,0.315,155,204,0.76,92,373,465,255,146.0,80,55,60,237,220,1177,-67.0,6,8,13,9,6,7,7,11,7,6,13,7,6,13,7,7,7,7,11,5,7,11,12,6,7,15,102.8,104.7,109.2,111.1,-6.4,-6.4,0.568,1.75,17.0,0.233,0.699,0.466,0.13,0.51,0.54,95.2,93.5,77.92,1124,0.473,14,8,12,10,11,10,13,9,14,10,12,13,8,12
1610612740,New Orleans Pelicans,4,0,4,0.0,192.0,134,338,0.396,35,131,0.267,55,64,0.859,49,133,182,78,72.0,35,18,21,80,64,358,-63.0,15,15,2,15,15,16,15,16,16,15,16,15,15,1,13,15,14,16,6,11,14,3,1,16,16,14,92.0,93.5,110.6,109.6,-18.6,-16.2,0.582,1.08,15.0,0.295,0.797,0.525,0.188,0.448,0.489,96.2,95.88,79.9,383,0.401,16,4,15,9,16,15,8,1,2,16,16,16,2,16
1610612742,Dallas Mavericks,22,13,9,0.591,1056.0,855,1827,0.468,262,728,0.36,359,499,0.719,239,709,948,465,276.0,138,116,108,417,434,2331,57.0,1,2,15,3,1,1,1,5,2,2,7,1,1,16,1,1,1,2,16,1,1,16,16,1,1,4,111.9,113.3,108.6,110.7,3.2,2.6,0.544,1.68,16.4,0.298,0.722,0.514,0.134,0.54,0.569,94.9,93.48,77.9,2058,0.509,7,5,5,15,12,12,7,7,6,12,4,8,9,5
1610612743,Denver Nuggets,12,7,5,0.583,576.0,467,1022,0.457,126,379,0.332,166,200,0.83,119,391,510,299,144.0,77,51,61,216,219,1226,-25.0,6,5,11,4,6,6,6,9,6,7,11,6,7,4,6,5,6,5,10,7,8,12,10,7,6,10,108.0,109.5,110.8,110.9,-2.8,-1.4,0.64,2.08,19.1,0.253,0.757,0.498,0.129,0.519,0.552,94.3,93.67,78.06,1120,0.49,10,6,8,2,4,2,11,5,7,9,11,11,7,8
1610612746,LA Clippers,6,2,4,0.333,288.0,214,493,0.434,71,190,0.374,103,130,0.792,67,185,252,121,81.0,37,19,38,137,121,602,-40.0,10,10,2,10,12,12,12,14,11,11,3,12,11,9,10,11,11,13,7,10,12,6,7,10,12,12,106.7,109.5,114.8,115.9,-8.1,-6.4,0.565,1.49,15.9,0.311,0.683,0.496,0.147,0.506,0.547,93.6,92.0,76.67,550,0.457,11,10,13,12,13,14,3,12,9,13,14,12,14,13
1610612747,Los Angeles Lakers,5,1,4,0.2,240.0,208,423,0.492,44,147,0.299,72,94,0.766,37,166,203,122,55.0,30,20,16,83,82,532,-11.0,13,13,2,13,13,13,13,2,14,14,15,14,14,12,14,13,13,12,1,14,11,2,2,14,13,8,110.3,109.7,110.6,113.4,-0.4,-3.7,0.587,2.22,18.6,0.212,0.72,0.479,0.113,0.544,0.573,97.3,96.4,80.33,485,0.488,9,9,11,7,2,3,15,8,12,2,3,7,1,9
1610612748,Miami Heat,5,1,4,0.2,240.0,178,406,0.438,56,170,0.329,49,60,0.817,28,153,181,106,58.0,23,7,26,84,78,461,-78.0,13,13,2,13,13,14,14,13,13,13,12,16,16,6,16,14,15,14,3,16,16,4,3,15,14,16,99.7,100.7,116.3,117.7,-16.6,-17.0,0.596,1.83,17.6,0.168,0.727,0.444,0.127,0.507,0.533,92.6,91.6,76.33,458,0.418,15,12,16,6,10,8,16,6,15,7,13,14,15,15
1610612749,Milwaukee Bucks,6,2,4,0.333,293.0,245,518,0.473,67,189,0.354,104,127,0.819,57,199,256,133,64.0,32,19,27,112,116,661,-17.0,10,10,2,10,10,10,10,3,12,12,10,11,12,5,12,10,10,11,4,13,12,5,5,11,10,9,113.8,116.8,115.9,119.4,-2.1,-2.6,0.543,2.08,17.2,0.262,0.697,0.485,0.113,0.538,0.576,95.5,92.89,77.41,566,0.479,5,14,10,16,3,9,10,10,10,1,6,5,11,10
1610612750,Minnesota Timberwolves,16,9,7,0.563,768.0,620,1326,0.468,187,521,0.359,293,378,0.775,170,509,679,383,195.0,116,73,81,333,320,1720,67.0,4,3,13,5,4,4,4,6,4,4,8,3,2,10,5,4,4,4,13,3,4,14,14,3,4,2,113.4,114.8,110.6,110.9,2.8,3.9,0.618,1.96,18.2,0.302,0.762,0.525,0.13,0.538,0.576,94.1,93.38,77.81,1498,0.518,6,7,4,4,8,5,6,3,1,11,5,4,10,3
1610612752,New York Knicks,13,7,6,0.538,629.0,517,1142,0.453,155,413,0.375,240,317,0.757,175,382,557,293,146.0,74,70,82,232,275,1429,-27.0,5,5,12,6,5,5,5,10,5,5,2,4,4,14,3,6,5,6,11,8,5,15,11,5,5,11,114.1,118.1,117.9,120.6,-3.8,-2.5,0.567,2.01,16.8,0.368,0.694,0.521,0.121,0.521,0.558,94.9,92.22,76.85,1210,0.478,2,15,9,11,7,11,1,11,5,4,10,10,13,11
1610612753,Orlando Magic,7,3,4,0.429,336.0,247,588,0.42,72,233,0.309,136,176,0.773,84,231,315,135,101.0,56,36,42,151,152,702,31.0,9,9,2,8,9,9,9,15,10,9,14,9,9,11,9,9,9,10,8,9,10,7,8,9,9,5,102.9,104.9,98.9,100.0,3.9,4.9,0.547,1.34,14.8,0.304,0.757,0.522,0.151,0.481,0.527,97.2,95.71,79.76,669,0.503,13,1,3,14,15,16,5,4,3,15,15,15,3,6
1610612754,Indiana Pacers,17,8,9,0.471,826.0,761,1502,0.507,208,559,0.372,206,276,0.746,175,528,703,508,204.0,93,82,71,348,296,1936,18.0,3,4,15,7,3,2,3,1,3,3,4,5,5,15,3,3,3,1,14,4,3,13,15,4,3,6,117.2,120.0,115.8,118.8,1.4,1.2,0.668,2.49,21.6,0.304,0.682,0.498,0.126,0.576,0.596,96.1,93.76,78.14,1613,0.516,1,13,6,1,1,1,4,14,8,6,1,1,6,4
1610612755,Philadelphia 76ers,6,2,4,0.333,293.0,222,500,0.444,81,214,0.379,124,148,0.838,64,183,247,138,71.0,33,38,43,129,115,649,-1.0,10,10,2,10,10,11,11,12,9,10,1,10,10,2,11,12,12,9,5,12,9,9,6,12,11,7,113.4,116.9,112.4,116.7,1.1,0.2,0.622,1.94,17.6,0.316,0.63,0.481,0.128,0.525,0.574,94.2,91.09,75.9,555,0.501,3,11,7,3,9,7,2,15,11,8,9,6,16,7
1610612756,Phoenix Suns,4,0,4,0.0,192.0,141,303,0.465,38,104,0.365,93,112,0.83,29,101,130,79,57.0,30,17,11,93,97,413,-60.0,15,15,2,15,15,15,16,7,15,16,5,13,13,3,15,16,16,15,2,14,15,1,4,13,15,13,108.6,109.3,120.6,123.2,-12.0,-13.9,0.56,1.39,16.0,0.214,0.608,0.418,0.151,0.528,0.586,96.6,95.25,79.37,378,0.43,12,16,14,13,14,13,14,16,16,14,8,3,4,14
1610612760,Oklahoma City Thunder,10,6,4,0.6,480.0,394,858,0.459,121,340,0.356,148,185,0.8,87,328,415,231,112.0,78,62,56,177,196,1057,63.0,8,7,2,2,8,8,8,8,8,8,9,8,8,8,8,8,8,8,9,6,6,10,9,8,8,3,109.6,110.9,102.3,104.5,7.4,6.4,0.586,2.06,17.7,0.253,0.683,0.475,0.118,0.53,0.563,96.8,95.2,79.33,953,0.545,8,2,2,8,6,6,12,13,13,3,7,9,5,2
