TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612737,Atlanta Hawks,16,8,8,0.5,778.0,590,1369,0.431,145,458,0.317,243,311,0.781,157,542,699,381,203.0,136,79,68,315,307,1568,-3.0,4,4,15,6,4,4,4,9,4,4,11,5,5,4,4,4,4,2,13,3,5,11,12,5,4,7,101.0,102.8,101.0,102.9,0.0,-0.2,0.646,1.88,18.1,0.263,0.711,0.489,0.133,0.484,0.521,95.9,94.15,78.46,1526,0.514,10,5,7,1,2,3,14,8,11,6,9,10,11,5
1610612738,Boston Celtics,4,0,4,0.0,192.0,139,331,0.42,22,86,0.256,79,102,0.775,40,123,163,80,54.0,21,15,31,107,93,379,-37.0,14,14,1,14,16,16,16,11,16,15,16,14,14,6,15,15,15,15,2,15,15,5,4,14,16,13,97.2,100.5,110.2,108.9,-13.0,-8.4,0.576,1.48,15.7,0.26,0.696,0.471,0.143,0.453,0.504,95.9,94.88,79.06,377,0.427,13,12,14,10,13,11,15,14,15,11,14,12,7,14
1610612739,Cleveland Cavaliers,20,14,6,0.7,975.0,694,1654,0.42,195,574,0.34,397,538,0.738,245,697,942,360,259.0,126,127,94,418,450,1980,80.0,2,2,12,2,2,2,2,12,2,2,8,2,2,9,1,2,2,4,14,4,1,15,15,2,2,2,104.0,106.6,100.3,102.2,3.6,4.4,0.519,1.39,14.2,0.327,0.728,0.527,0.139,0.479,0.524,93.5,91.47,76.23,1857,0.519,5,4,2,14,16,15,2,2,1,10,10,8,15,4
1610612740,New Orleans Pelicans,4,0,4,0.0,197.0,152,337,0.451,27,85,0.318,72,89,0.809,43,125,168,93,54.0,30,23,25,95,79,403,-32.0,14,14,1,14,14,14,15,4,15,16,10,15,15,3,14,14,14,13,2,13,12,1,1,16,14,10,104.1,103.6,111.6,111.8,-7.6,-8.2,0.612,1.72,17.5,0.266,0.694,0.487,0.139,0.491,0.536,94.6,94.78,78.98,389,0.464,9,15,13,6,4,4,12,15,12,9,7,5,9,11
1610612741,Chicago Bulls,12,6,6,0.5,586.0,421,1005,0.419,110,295,0.373,200,258,0.775,140,405,545,266,168.0,86,79,85,226,244,1152,41.0,6,6,12,6,6,6,6,13,6,6,3,7,6,5,5,6,6,6,11,7,5,13,11,6,6,3,100.5,104.2,98.1,101.1,2.4,3.1,0.632,1.58,17.0,0.337,0.707,0.525,0.152,0.474,0.515,93.4,90.31,75.26,1106,0.526,8,3,4,3,9,6,1,10,2,16,11,11,16,3
1610612742,Dallas Mavericks,5,1,4,0.2,240.0,208,460,0.452,38,122,0.311,96,126,0.762,68,169,237,106,71.0,35,23,26,136,123,550,-21.0,12,12,1,12,12,11,12,3,12,12,13,10,10,7,11,13,12,12,5,12,12,2,7,10,11,9,106.1,107.0,108.6,111.3,-2.5,-4.3,0.51,1.49,15.2,0.309,0.709,0.507,0.138,0.493,0.534,104.4,102.7,85.58,514,0.476,4,14,10,15,12,13,3,9,4,8,6,6,1,10
1610612744,Golden State Warriors,21,16,5,0.762,1023.0,802,1769,0.453,240,641,0.374,325,465,0.699,243,715,958,515,307.0,168,121,98,471,439,2169,164.0,1,1,10,1,1,1,1,2,1,1,2,3,3,13,2,1,1,1,16,1,2,16,16,3,1,1,106.4,107.1,97.4,98.8,9.0,8.2,0.642,1.68,18.3,0.285,0.707,0.501,0.152,0.521,0.55,96.1,95.13,79.28,2026,0.547,3,1,1,2,6,1,6,11,6,14,1,1,5,1
1610612745,Houston Rockets,17,9,8,0.529,816.0,635,1417,0.448,161,468,0.344,408,624,0.654,185,592,777,372,263.0,142,93,92,398,463,1839,-42.0,3,3,15,5,3,3,3,6,3,3,7,1,1,16,3,3,3,3,15,2,3,14,14,1,3,14,103.9,106.0,106.9,108.4,-2.9,-2.4,0.586,1.41,15.8,0.291,0.707,0.498,0.152,0.505,0.544,103.8,102.06,85.05,1735,0.485,6,11,9,9,15,10,5,12,8,15,4,3,2,9
1610612746,Los Angeles Clippers,14,7,7,0.5,677.0,553,1187,0.466,117,356,0.329,286,429,0.667,135,490,625,315,184.0,120,82,69,347,351,1509,19.0,5,5,14,6,5,5,5,1,5,5,9,4,4,15,6,5,5,5,12,5,4,12,13,4,5,5,105.9,107.9,105.3,106.7,0.6,1.1,0.57,1.71,16.7,0.265,0.705,0.489,0.132,0.515,0.548,100.7,99.08,82.57,1399,0.513,1,10,5,12,5,8,13,13,10,5,2,2,3,6
1610612749,Milwaukee Bucks,6,2,4,0.333,298.0,205,529,0.388,33,109,0.303,88,125,0.704,73,189,262,122,79.0,65,40,42,127,113,531,-74.0,10,10,1,10,10,12,10,16,13,13,14,13,11,12,10,11,11,11,6,9,9,7,6,11,12,16,90.0,92.0,101.0,104.5,-11.0,-12.5,0.595,1.54,15.5,0.267,0.674,0.457,0.137,0.419,0.455,95.7,93.1,77.58,577,0.416,16,7,15,8,10,12,11,16,16,7,16,16,13,15
