TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612738,Boston Celtics,19,11,8,0.579,922.0,692,1582,0.437,199,581,0.343,343,447,0.767,168,624,792,403,221.0,130,77,106,388,406,1926,13.0,3,3,15,3,3,3,3,12,4,4,11,3,2,9,3,3,3,3,14,4,4,16,14,3,3,5,105.1,107.1,104.6,106.2,0.5,0.9,0.582,1.82,16.5,0.256,0.747,0.494,0.123,0.5,0.541,95.3,93.74,78.11,1799,0.499,9,5,5,7,3,10,8,6,11,2,13,12,13,6
1610612739,Cleveland Cavaliers,22,12,10,0.545,1066.0,811,1801,0.45,221,667,0.331,382,508,0.752,215,695,910,423,279.0,131,97,96,430,481,2225,-38.0,1,2,16,5,1,2,2,10,3,2,15,1,1,11,1,2,2,2,16,3,2,15,16,1,2,12,106.5,108.3,108.5,111.1,-2.0,-2.8,0.522,1.52,15.3,0.289,0.744,0.513,0.136,0.512,0.55,94.0,92.13,76.77,2055,0.483,8,11,10,13,12,12,2,8,2,6,11,8,15,10
1610612740,New Orleans Pelicans,9,5,4,0.556,432.0,386,808,0.478,89,243,0.366,129,165,0.782,71,339,410,242,130.0,73,45,44,174,171,990,-7.0,8,5,1,4,8,8,8,4,8,8,6,8,8,5,8,7,7,6,9,7,8,9,9,8,8,7,105.4,105.5,105.7,107.0,-0.3,-1.4,0.627,1.86,19.0,0.215,0.762,0.497,0.139,0.533,0.562,104.6,103.89,86.57,938,0.504,11,8,8,4,2,2,15,3,9,8,5,5,1,5
1610612744,Golden State Warriors,21,16,5,0.762,1013.0,866,1806,0.48,235,659,0.357,352,428,0.822,192,753,945,547,270.0,165,122,76,414,408,2319,210.0,2,1,10,1,2,1,1,3,1,3,10,2,3,3,2,1,1,1,15,1,1,14,15,2,1,1,111.9,112.7,100.5,102.0,11.4,10.7,0.632,2.03,19.2,0.255,0.732,0.508,0.131,0.545,0.581,98.8,97.73,81.44,2058,0.572,1,1,1,3,1,1,9,11,3,4,2,2,8,1
1610612745,Houston Rockets,17,11,6,0.647,816.0,632,1450,0.436,228,676,0.337,292,378,0.772,149,582,731,320,205.0,138,93,74,325,332,1784,31.0,4,3,12,2,4,4,4,14,2,1,13,4,4,7,4,4,4,4,13,2,3,13,13,4,4,4,106.7,108.5,106.1,107.0,0.6,1.6,0.506,1.56,14.7,0.251,0.755,0.494,0.125,0.514,0.552,97.8,96.56,80.47,1644,0.497,7,7,4,14,10,14,11,4,12,3,8,7,9,8
1610612748,Miami Heat,5,1,4,0.2,240.0,183,414,0.442,54,138,0.391,97,143,0.678,48,157,205,119,80.0,44,32,21,146,120,517,-54.0,13,13,1,13,13,14,14,11,12,13,2,12,9,16,12,14,14,12,4,13,10,1,6,13,13,16,101.6,101.8,109.6,112.2,-8.0,-10.4,0.65,1.49,17.3,0.235,0.655,0.449,0.157,0.507,0.542,103.0,101.7,84.75,508,0.429,16,13,16,2,13,7,13,16,16,15,12,11,2,14
1610612749,Milwaukee Bucks,7,3,4,0.429,341.0,274,548,0.5,67,180,0.372,98,139,0.705,39,231,270,154,92.0,46,47,29,160,136,713,-4.0,9,9,1,8,9,9,10,1,10,10,4,10,11,14,16,9,10,9,7,12,7,5,8,10,9,6,107.7,108.7,106.1,108.8,1.6,-0.1,0.562,1.67,17.8,0.19,0.698,0.466,0.14,0.561,0.585,94.2,92.55,77.13,656,0.509,6,9,6,8,8,4,16,15,14,9,1,1,14,4
1610612750,Minnesota Timberwolves,5,1,4,0.2,240.0,190,413,0.46,45,109,0.413,83,114,0.728,43,183,226,112,63.0,25,16,31,91,88,508,-44.0,13,13,1,13,13,13,15,7,14,16,1,15,15,12,14,13,13,13,3,16,14,6,2,15,14,13,105.1,106.9,113.3,116.0,-8.2,-9.0,0.589,1.78,17.4,0.245,0.745,0.506,0.133,0.515,0.548,97.0,95.1,79.25,475,0.475,10,15,14,5,4,6,12,7,6,5,7,10,11,11
1610612754,Indiana Pacers,7,3,4,0.429,336.0,270,561,0.481,68,190,0.358,96,135,0.711,57,223,280,148,92.0,57,19,25,153,142,704,40.0,9,9,1,8,10,10,9,2,9,9,9,13,12,13,9,10,9,10,7,8,13,2,7,9,10,2,107.4,110.3,103.0,103.4,4.4,6.9,0.548,1.61,17.1,0.274,0.735,0.507,0.144,0.542,0.567,92.8,91.43,76.19,638,0.545,3,2,2,11,9,8,4,10,4,11,3,4,16,2
1610612755,Philadelphia 76ers,10,5,5,0.5,485.0,387,885,0.437,99,293,0.338,215,283,0.76,134,361,495,258,146.0,78,41,59,228,255,1088,39.0,6,5,10,6,6,7,6,13,7,6,12,5,5,10,5,6,5,5,11,6,9,11,12,5,6,3,106.5,108.9,104.7,105.0,1.8,3.9,0.667,1.77,18.0,0.333,0.769,0.543,0.146,0.493,0.539,100.1,98.87,82.39,999,0.532,5,3,3,1,5,3,1,2,1,14,14,13,4,3
1610612757,Portland Trail Blazers,4,0,4,0.0,192.0,165,364,0.453,43,129,0.333,49,63,0.778,45,129,174,76,58.0,33,15,26,82,78,422,-36.0,16,16,1,16,16,16,16,9,15,15,14,16,16,6,13,16,16,16,2,15,15,4,1,16,16,11,104.3,105.5,114.7,113.9,-10.4,-8.4,0.461,1.31,14.3,0.267,0.781,0.499,0.145,0.512,0.539,100.5,100.25,83.54,400,0.426,12,14,13,15,14,15,6,1,8,12,10,14,3,15
1610612759,San Antonio Spurs,5,1,4,0.2,240.0,173,419,0.413,42,141,0.298,96,115,0.835,42,146,188,95,55.0,38,15,25,102,99,484,-44.0,13,13,1,13,13,15,13,16,16,12,16,13,14,2,15,15,15,15,1,14,15,2,3,14,15,13,100.3,102.1,111.2,111.9,-10.9,-9.8,0.549,1.73,15.2,0.233,0.709,0.456,0.116,0.463,0.515,95.7,94.6,78.83,474,0.418,15,12,15,10,7,13,14,14,15,1,16,16,12,16
1610612760,Oklahoma City Thunder,6,2,4,0.333,288.0,223,519,0.43,63,173,0.364,98,127,0.772,56,208,264,98,84.0,53,25,33,130,124,607,-26.0,11,11,1,11,11,12,11,15,11,11,7,10,13,8,10,11,11,14,6,10,12,7,5,12,12,10,100.7,102.9,106.1,106.9,-5.4,-4.0,0.439,1.17,12.8,0.261,0.713,0.485,0.142,0.49,0.528,100.0,98.5,82.08,590,0.469,14,6,11,16,16,16,7,13,13,10,15,15,5,12
1610612761,Toronto Raptors,10,4,6,0.4,485.0,389,823,0.473,104,267,0.39,191,239,0.799,94,307,401,218,140.0,57,61,48,226,203,1073,-44.0,6,8,12,10,6,6,7,5,6,7,3,6,7,4,7,8,8,8,10,8,5,10,10,7,7,13,110.1,111.4,112.5,116.4,-2.4,-4.9,0.56,1.56,16.8,0.272,0.719,0.496,0.145,0.536,0.578,97.3,95.16,79.3,963,0.469,2,16,12,9,11,9,5,12,10,13,4,3,10,13
1610612762,Utah Jazz,11,5,6,0.455,528.0,415,912,0.455,118,329,0.359,178,259,0.687,103,392,495,223,171.0,83,55,61,226,230,1126,-24.0,5,5,12,7,5,5,5,8,5,5,8,7,6,15,6,5,5,7,12,5,6,12,10,6,5,9,102.9,104.3,104.4,106.1,-1.5,-1.8,0.537,1.3,15.5,0.255,0.754,0.507,0.158,0.52,0.549,99.8,98.36,81.97,1080,0.488,13,4,9,12,15,11,10,5,5,16,6,9,6,9
1610612764,Washington Wizards,6,2,4,0.333,288.0,238,511,0.466,48,131,0.366,119,140,0.85,51,189,240,140,81.0,47,31,37,126,128,643,-12.0,11,11,1,11,11,11,12,6,13,14,5,9,10,1,11,12,12,11,5,11,11,8,4,11,11,8,106.7,109.7,110.2,110.8,-3.5,-1.1,0.588,1.73,17.5,0.279,0.736,0.504,0.138,0.513,0.561,99.8,98.08,81.74,586,0.498,4,10,7,6,6,5,3,9,7,7,9,6,7,7
